mission_id,mission_title,sort_order,resource_type,title,source,url,length,language,rationale
2,Problem Definition,5,Guide,Stanford d.school / IDEO — Define mode & the POV problem statement,Umbrex,https://umbrex.com/resources/frameworks/design-thinking-frameworks/stanford-d-school-design-thinking-process/,reference,EN,User + Need + Insight — the exact structure Mission 2 and Mission 4 are asking for.
2,Problem Definition,6,Guide,Buyer persona — step-by-step guide,UXPressia,https://uxpressia.com/blog/how-to-create-a-buyer-persona-the-ultimate-guide,long read,EN,Practical persona construction to pair with the Canvas · Persona tab.
3,Importance/Frequency Matrix,1,Guide,Opportunity Scoring — definition and method,ProductPlan,https://www.productplan.com/glossary/opportunity-scoring,short,EN,Importance × satisfaction scoring — the framework the Mission 3 matrix implements.
3,Importance/Frequency Matrix,2,Guide,What is Opportunity Scoring?,airfocus,https://airfocus.com/glossary/what-is-opportunity-scoring/,short,EN,Second explanation with worked numbers; good for founders who bounce off the first.
3,Importance/Frequency Matrix,3,Guide,Outcome-Driven Innovation and the opportunity algorithm,Wikipedia,https://en.wikipedia.org/wiki/Outcome-Driven_Innovation,reference,EN,"Where the importance/frequency logic comes from, for founders who want the theory."
3,Importance/Frequency Matrix,4,Guide,ICE Scoring Model,ProductPlan,https://www.productplan.com/glossary/ice-scoring-model,short,EN,The quick-scoring alternative when the matrix produces a tie.
4,Problem Statements,1,Guide,Stanford d.school Define mode — crafting a point-of-view,Umbrex,https://umbrex.com/resources/frameworks/design-thinking-frameworks/stanford-d-school-design-thinking-process/,reference,EN,'[User] needs [need] because [insight]' — the sentence template for Q1.
4,Problem Statements,2,Article,How to get startup ideas — evaluating an idea,YC Startup Library,https://www.ycombinator.com/library/8g-how-to-get-startup-ideas,~30 min,EN,"The evaluation half of the talk maps onto Q3, quantifying the problem's impact."
4,Problem Statements,3,Guide,"TAM, SAM, SOM: the complete guide to market sizing",HG Insights,https://hginsights.com/blog/tam-sam-som-the-complete-guide-to-market-sizing/,long read,EN,Q3 asks for impact. Sizing the affected population is how you answer it with a number.
4,Problem Statements,4,Article,What is good retention,Lenny's Newsletter,https://www.lennysnewsletter.com/p/what-is-good-retention-issue-29,long read,EN,Benchmarks for choosing a defensible success metric in Q4.
5,Idea Selection,1,Guide,RICE Scoring Model,ProductPlan,https://www.productplan.com/glossary/rice-scoring-model,short,EN,Reach × Impact × Confidence ÷ Effort — the numeric tie-breaker for Q7.
5,Idea Selection,2,Guide,ICE Framework: how (not) to score/prioritise growth experiments,Ward van Gasteren,https://growwithward.com/ice-prioritization-framework,long read,EN,Honest about how ICE goes wrong — worth showing founders before they trust their own scores.
5,Idea Selection,3,Guide,How to prioritise with the RICE framework,Railsware,https://railsware.com/blog/rice-framework/,long read,EN,Worked examples; good for the in-mission 'show me' link.
5,Idea Selection,4,Article,How to get startup ideas — evaluating ideas,YC Startup Library,https://www.ycombinator.com/library/8g-how-to-get-startup-ideas,~30 min,EN,Evaluation criteria to bring to the value/impact scores.
6,Idea Description,1,Video,Strategyzer's Value Proposition Canvas Explained (T),Strategyzer,https://www.youtube.com/watch?v=ReM1uqmVfP0,~3 min,EN,The official explainer. Embed it directly above the canvas in Mission 6.
6,Idea Description,2,Template,Value Proposition Canvas — official template & library page,Strategyzer,https://www.strategyzer.com/library/the-value-proposition-canvas,template,EN,"The source template, from the people who created it. Credibility with mentors and investors."
6,Idea Description,3,Playlist,Strategyzer — official channel (T),Strategyzer,https://www.youtube.com/channel/UCPVreN9tVxFY2RgWeENShpg,series,EN,Canvas walkthroughs and case videos for founders who want more than 3 minutes.
6,Idea Description,4,Guide,"Strategyzer library — canvases, testing cards, portfolio map",Strategyzer,https://www.strategyzer.com/library,index,EN,Where the Testing Card lives — used again in Mission 7.
7,Solution Hypothesis Test,1,Article,How to talk to users — prototype stage,YC Startup Library,https://www.ycombinator.com/library/6g-how-to-talk-to-users,~30 min,EN,The talk explicitly covers the idea stage and prototype stage separately — this mission is the idea stage.
7,Solution Hypothesis Test,2,Guide,Guide to smoke testing: how to evaluate your product,CXL,https://cxl.com/blog/smoke-test/,long read,EN,How to run a demand test that measures behaviour rather than enthusiasm.
7,Solution Hypothesis Test,3,Guide,A growth marketer's guide to smoke tests,Tradecraft / Medium,https://medium.com/tradecraft-traction/a-growth-marketers-guide-to-smoke-tests-6ffa964a6181,long read,EN,"Practical mechanics: page, traffic source, and what counts as a pass."
7,Solution Hypothesis Test,4,Guide,How to run a smoke test landing page to prove demand,Founder FAQs,https://founderfaqs.com/blogs/how-to-run-a-smoke-test-landing-page-to-prove-demand,short,EN,Checklist form — pairs with the Landing Page Brief tool.
7,Solution Hypothesis Test,5,Video,The Lean Startup | Eric Ries | Talks at Google (T),Talks at Google,https://www.youtube.com/watch?v=fEvKo90qBns,~1h,EN,Build-Measure-Learn and validated learning — the theory behind this mission.
8,Business Model Canvas,1,Video,Business Model Canvas Explained (T),Strategyzer,https://www.youtube.com/watch?v=QoAOzMTLP5s,~2 min,EN,The official 2-minute overview. This is the pre-mission briefing video for Mission 8.
8,Business Model Canvas,2,Guide,Strategyzer library — Business Model Canvas & related tools,Strategyzer,https://www.strategyzer.com/library,index,EN,"Official canvas assets, so the founder's output looks like the standard investors know."
8,Business Model Canvas,3,Playlist,Strategyzer — official channel: canvas case videos (T),Strategyzer,https://www.youtube.com/channel/UCPVreN9tVxFY2RgWeENShpg,series,EN,Worked business-model cases — the fastest way to understand the 9 blocks in practice.
8,Business Model Canvas,4,Guide,How to use the Van Westendorp Price Sensitivity Meter,SurveyMonkey,https://www.surveymonkey.com/market-research/resources/van-westendorp-price-sensitivity-meter/,long read,EN,The revenue-streams block needs a price. This is how to find one from customers.
8,Business Model Canvas,5,Article,SaaS Metrics 2.0 — a guide to measuring and improving what matters,For Entrepreneurs (David Skok),https://www.forentrepreneurs.com/saas-metrics-2/,long read,EN,The reference behind unit economics and the cost/revenue blocks.
8,Business Model Canvas,6,Course,نموذج العمل التجاري لرواد الأعمال — Business Model Canvas in Arabic,Udemy,https://www.udemy.com/course/business-model-canvas-arabic/,course,AR,Arabic-language BMC course for the AR track. (Paid — check before linking as 'free'.)
9,Build Prototype,1,Guide,Guide to prototyping in Figma — official docs,Figma,https://help.figma.com/hc/en-us/articles/360040314193-Guide-to-prototyping-in-Figma,reference,EN,The official how-to for the tool most Mission 9 founders will pick.
9,Build Prototype,2,Guide,Free Figma prototype tutorials,Figma Community,https://www.figma.com/community/design-tutorials/prototyping,interactive,EN,Hands-on interactive tutorials — better than video for founders who learn by doing.
9,Build Prototype,3,Video,Prototype for Beginners (2025) | Figma Tutorial (T),YouTube,https://www.youtube.com/watch?v=_4yp6ZMsUeU,tutorial,EN,Zero-to-clickable in one sitting. Good default embed for the mission.
9,Build Prototype,4,Video,Figma Prototype Tutorial for Beginners (T),YouTube,https://www.youtube.com/watch?v=1ucLq6JTxac,tutorial,EN,Alternate beginner walkthrough.
9,Build Prototype,5,Playlist,Figma: Advanced Prototyping Tutorials (T),YouTube,https://www.youtube.com/playlist?list=PLN292j3_frZkuZu1Tg44PbKTqvK8Ivfmd,series,EN,For founders who get through the basics fast.
9,Build Prototype,6,Guide,The Design Sprint — official GV method & videos,GV (Google Ventures),https://www.gv.com/sprint/,5-day method,EN,"If the founder has a week rather than an evening, the sprint produces a tested prototype."
10,Solution Hypothesis Test (Prototype),1,Video,Usability Testing 101,Nielsen Norman Group,https://www.nngroup.com/videos/usability-testing-101/,short,EN,The definitive short explainer on running a usability test properly.
10,Solution Hypothesis Test (Prototype),2,Video,User Testing: Why & How — Jakob Nielsen,Nielsen Norman Group,https://www.nngroup.com/videos/user-testing-jakob-nielsen/,short,EN,Why five users is usually enough — answers Mission 10's Q1 directly.
10,Solution Hypothesis Test (Prototype),3,Video,Introducing a usability test to the participant (facilitator script demo),Nielsen Norman Group,https://www.nngroup.com/videos/introducing-a-usability-test/,short,EN,A demonstrated script. Founders copy this verbatim and their first session goes fine.
10,Solution Hypothesis Test (Prototype),4,Playlist,Jakob Nielsen — authorized videos (T),Nielsen Norman Group / YouTube,https://www.youtube.com/playlist?list=PLJOFJ3Ok_idsnPXXdJ9FpDzqIyWRIwGS-,series,EN,The full UX research playlist for founders who want depth.
10,Solution Hypothesis Test (Prototype),5,Article,How to talk to users — prototype stage,YC Startup Library,https://www.ycombinator.com/library/6g-how-to-talk-to-users,~30 min,EN,The prototype-stage section is exactly this mission.
11,Service Selection,1,Guide,Go-to-market strategy framework,Gartner,https://www.gartner.com/en/sales/trends/go-to-market-strategy-framework,reference,EN,Structured GTM definition — the frame for Q1-Q5.
11,Service Selection,2,Guide,What is a go-to-market strategy? GTM plan template + examples,HubSpot,https://blog.hubspot.com/sales/gtm-strategy,long read + template,EN,Template-driven and practical; the one most founders will actually finish.
11,Service Selection,3,Guide,Go-to-market strategy: definition & 9-step guide,Asana,https://asana.com/resources/go-to-market-gtm-strategy,long read,EN,Step-by-step sequencing for founders who need an order of operations.
11,Service Selection,4,Guide,How to use the Van Westendorp Price Sensitivity Meter,SurveyMonkey,https://www.surveymonkey.com/market-research/resources/van-westendorp-price-sensitivity-meter/,long read,EN,Q3 asks for a pricing strategy. This is how to base it on evidence.
11,Service Selection,5,Article,SaaS Metrics 2.0 — detailed definitions,For Entrepreneurs (David Skok),https://www.forentrepreneurs.com/saas-metrics-2-definitions-2/,reference,EN,"CAC by channel, payback, and the definitions the Channel CAC Planner uses."
12,Market Validation,1,Video,"How to Size Your Addressable Market (TAM, SAM, SOM, top-down vs bottom-up) (T)",YouTube,https://www.youtube.com/watch?v=j7wwVo-zJ3c,tutorial,EN,The bottom-up method investors accept. Q5 needs this.
12,Market Validation,2,Guide,"TAM, SAM, SOM: the complete guide to market sizing",HG Insights,https://hginsights.com/blog/tam-sam-som-the-complete-guide-to-market-sizing/,long read,EN,Written companion with worked math.
12,Market Validation,3,Video,The Five Competitive Forces That Shape Strategy — Michael Porter (T),YouTube,https://www.youtube.com/watch?v=mYF2_FBCvXw,short,EN,"Porter explaining his own framework — for Q3, competitors."
12,Market Validation,4,Article,The Five Competitive Forces That Shape Strategy,Harvard Business Review,https://hbr.org/2008/01/the-five-competitive-forces-that-shape-strategy,long read,EN,The original article. Cite it and mentors take the analysis seriously.
12,Market Validation,5,Guide,The Five Forces — Institute for Strategy & Competitiveness,Harvard Business School,https://www.isc.hbs.edu/strategy/business-strategy/Pages/the-five-forces.aspx,reference,EN,Free official reference version.
12,Market Validation,6,Guide,Guide to smoke testing,CXL,https://cxl.com/blog/smoke-test/,long read,EN,Running the demand test that produces Q2's indicators.
12,Market Validation,7,Data,MENA venture & market research reports,MAGNiTT,https://magnitt.com/research/,reports,EN,"Regional data so MENA founders size their market with MENA numbers, not US ones."
13,Build MVP,1,Video,The Lean Startup | Eric Ries | Talks at Google (T),Talks at Google,https://www.youtube.com/watch?v=fEvKo90qBns,~1h,EN,What 'minimum' and 'viable' actually mean — the discipline that keeps a 20-hour build from becoming 200.
13,Build MVP,2,Guide,MVP development: 2026 guide from idea to launch,WeWeb,https://www.weweb.io/blog/mvp-development-complete-guide-from-idea-to-launch,long read,EN,"Current, practical, and covers the no-code route most first-time founders should take."
13,Build MVP,3,Guide,8 best no-code tools to build your MVP in days,F22 Labs,https://www.f22labs.com/blogs/no-code-mvp-tools/,long read,EN,Tool comparison for the Tech Stack Selector — non-technical founders need this list.
13,Build MVP,4,Guide,How to build an MVP without coding,NxCode,https://www.nxcode.io/resources/news/build-mvp-without-coding-2026,long read,EN,Second opinion on the no-code path; useful because tool recommendations date fast.
13,Build MVP,5,Guide,AARRR vs RARRA: pirate metrics explained,Mind the Product,https://www.mindtheproduct.com/aarrr-vs-rarra-pirate-metrics-explained/,long read,EN,"Decide your event taxonomy BEFORE you ship, or Mission 14 has no data to read."
14,Product-Market Fit Test,1,Article,How Superhuman built an engine to find product-market fit,First Round Review,https://review.firstround.com/how-superhuman-built-an-engine-to-find-product-market-fit/,long read,EN,The single best article on this mission. Turns PMF from a feeling into a tracked number (22% → 58%).
14,Product-Market Fit Test,2,Article,How Superhuman built an engine to find product-market fit (author's copy),Superhuman blog,https://blog.superhuman.com/how-superhuman-built-an-engine-to-find-product-market-fit/,long read,EN,"Mirror of the same piece, in case the First Round link moves."
14,Product-Market Fit Test,3,Guide,"Product-market fit survey — the Sean Ellis 40% test, with template",Learning Loop,https://learningloop.io/plays/product-market-fit-survey,template,EN,The exact survey wording. Q5's 1-10 self-rating should be replaced by this number.
14,Product-Market Fit Test,4,Article,How to measure cohort retention,Lenny's Newsletter,https://www.lennysnewsletter.com/p/measuring-cohort-retention,long read,EN,Step-by-step cohort measurement — the method behind the Cohort Retention tool.
14,Product-Market Fit Test,5,Article,What is good retention,Lenny's Newsletter,https://www.lennysnewsletter.com/p/what-is-good-retention-issue-29,long read,EN,"Benchmarks by category, so founders know whether their curve is good or not."
14,Product-Market Fit Test,6,Article,How to increase your retention,Lenny's Newsletter,https://www.lennysnewsletter.com/p/how-to-increase-your-retention-issue,long read,EN,Seven levers — the input to Q6's improvement list.
14,Product-Market Fit Test,7,Guide,How to measure retention correctly with cohorts (step by step),Growth Engineering Blog,https://www.growthengblog.com/blog/how-to-measure-retention-correctly-with-cohorts-step-by-step-guide-with-examples,long read,EN,Worked examples with the common mistakes called out.
14,Product-Market Fit Test,8,Article,SaaS Metrics 2.0,For Entrepreneurs (David Skok),https://www.forentrepreneurs.com/saas-metrics-2/,long read,EN,"LTV, CAC, payback — the numbers that make Q2 credible."
15,Go to Market,1,Article,The best way to launch your startup — Kat Mañalac,YC Startup Library,https://www.ycombinator.com/library/Ir-the-best-way-to-launch-your-startup,~30 min,EN,The definitive founder talk on launching. Pre-mission briefing material for Mission 15.
15,Go to Market,2,Article,How to launch (again and again) — Kat Mañalac,YC Startup Library,https://www.ycombinator.com/library/6i-how-to-launch-again-and-again,~30 min,EN,Launch is not one day. The most useful correction to a first-time founder's mental model.
15,Go to Market,3,Video,The Best Way To Launch Your Startup | Startup School (T),YouTube,https://www.youtube.com/watch?v=u36A-YTxiOw,talk,EN,Video version for the in-mission embed.
15,Go to Market,4,Video,Kat Mañalac — How to Launch (Again and Again) (T),YouTube,https://www.youtube.com/watch?v=3xU050kMbHM,talk,EN,Video version of the second talk.
15,Go to Market,5,Guide,Product Hunt Launch Guide — official,Product Hunt,https://www.producthunt.com/launch,guide,EN,"If the founder launches on PH, this is the source of truth on how it works."
15,Go to Market,6,Guide,In-depth Product Hunt launch guide,Demand Curve,https://www.demandcurve.com/playbooks/product-hunt-launch,playbook,EN,"The tactical companion — checklist, timing, and what actually moves ranking."
15,Go to Market,7,Video,Pirate Metrics Explained: AARRR framework (Dave McClure's strategy) (T),YouTube,https://www.youtube.com/watch?v=hQBgKYFHp8w,tutorial,EN,Measuring the launch funnel end to end — Q3 and Q4.
15,Go to Market,8,Guide,AARRR vs RARRA: pirate metrics explained,Mind the Product,https://www.mindtheproduct.com/aarrr-vs-rarra-pirate-metrics-explained/,long read,EN,"Why retention, not acquisition, should lead the post-launch dashboard."
16,Raise Your Round (proposed),1,Guide,Writing a Business Plan — the Sequoia deck structure,Sequoia Capital,https://sequoiacap.com/article/writing-a-business-plan,reference,EN,The structure the companion Word template follows. Straight from the source.
16,Raise Your Round (proposed),2,Template,Sequoia Capital pitch deck template (PDF),University of Victoria (hosted copy),https://www.uvic.ca/gustavson/_assets/docs/pitch-deck-template-web.pdf,template,EN,"Freely downloadable copy of the template, for founders who want the original slides."
16,Raise Your Round (proposed),3,Video,How to Apply And Succeed at Y Combinator | Startup School (T),YouTube,https://www.youtube.com/watch?v=B5tU2447OK8,talk,EN,Relevant for founders considering an accelerator as part of the raise.
16,Raise Your Round (proposed),4,Data,#MENAFounders Report,MAGNiTT,https://magnitt.com/research/menafounders-report-20924,report,EN,Regional founder benchmarks — useful context in a MENA raise.
16,Raise Your Round (proposed),5,Data,MENA Venture Capital: the H1 2026 review,MAGNiTT,https://magnitt.com/research/mena-venture-capital-the-h1-2026-review-51047,report,EN,Current regional funding climate — cite in the market and ask slides.
