shelf,sort_order,tool_slug,tool_name,category,rationale
"Team & governance shelf (trigger: first hire, incorporation, contractor)",5,compensation-bands,Compensation Bands,Team & Operations,Consistent pay before ad-hoc offers create problems.
"Team & governance shelf (trigger: first hire, incorporation, contractor)",6,org-span-of-control,Org Span of Control,Team & Operations,Org shape past ~8 people.
"Team & governance shelf (trigger: first hire, incorporation, contractor)",7,legal-checklist,Legal Checklist,Team & Operations,"Entity, founders' agreement, IP assignment, privacy."
"Team & governance shelf (trigger: first hire, incorporation, contractor)",8,ip-strategy,IP Strategy,Team & Operations,Trademark and IP assignment.
"Team & governance shelf (trigger: first hire, incorporation, contractor)",9,risk-register,Risk Register,Team & Operations,"Standing register, reviewed monthly."
"Team & governance shelf (trigger: first hire, incorporation, contractor)",10,okrs,OKRs,Strategy & Business Model,Quarterly goals once the team is more than the founders.
"Team & governance shelf (trigger: first hire, incorporation, contractor)",11,vision-and-mission,Vision & Mission,Strategy & Business Model,"Written once, referenced constantly."
"Team & governance shelf (trigger: first hire, incorporation, contractor)",12,sales-velocity,Sales Velocity,Team & Operations,Once a pipeline exists.
"Team & governance shelf (trigger: first hire, incorporation, contractor)",13,sales-capacity,Sales Capacity,Team & Operations,Once you have more than one seller.
Scale shelf (post-Mission 15),1,scaling-readiness-scorecard,Scaling Readiness Scorecard,Strategy & Business Model,Are you ready to scale?
Scale shelf (post-Mission 15),2,market-expansion-priority,Market Expansion Priority,Strategy & Business Model,Which market next.
Scale shelf (post-Mission 15),3,new-market-entry-scorecard,New Market Entry Scorecard,Strategy & Business Model,Cross-border entry decision.
Scale shelf (post-Mission 15),4,partnership-bd-pipeline,Partnership / BD Pipeline,Strategy & Business Model,Partnerships as a growth channel.
Scale shelf (post-Mission 15),5,expansion-and-nrr,Expansion & NRR,Metrics & Growth Analytics,Growth from existing accounts.
Scale shelf (post-Mission 15),6,revenue-per-employee,Revenue per Employee,Metrics & Growth Analytics,Productivity as you add headcount.
Scale shelf (post-Mission 15),7,rule-of-40,Rule of 40,Metrics & Growth Analytics,Growth-vs-profit balance.
Scale shelf (post-Mission 15),8,magic-number,Magic Number,Metrics & Growth Analytics,Sales efficiency.
Scale shelf (post-Mission 15),9,growth-accounting,Growth Accounting,Metrics & Growth Analytics,Decomposed growth.
Scale shelf (post-Mission 15),10,customer-health-score,Customer Health Score,Metrics & Growth Analytics,Retention early-warning system.
Scale shelf (post-Mission 15),11,saas-metrics-dashboard,SaaS Metrics Dashboard,Metrics & Growth Analytics,The standing metrics board.
Scale shelf (post-Mission 15),12,kpi-scorecard,KPI Scorecard,Metrics & Growth Analytics,Target vs actual.
Scale shelf (post-Mission 15),13,growth-rate-and-cagr,Growth Rate & CAGR,Metrics & Growth Analytics,Momentum.
