mission_id,mission_title,tool_slug,tool_name,role,sort_order,rationale,feeds_question
11,Service Selection,marketing-materials,Marketing Materials,supporting,8,The asset list the launch plan depends on.,Q5
11,Service Selection,market-expansion-priority,Market Expansion Priority,stretch,1,"If more than one geography or segment is in play, rank them.",Q1
11,Service Selection,partnership-bd-pipeline,Partnership / BD Pipeline,stretch,2,Channel partners are a go-to-market motion in their own right in MENA.,Q2
11,Service Selection,referral-viral-loop,Referral / Viral Loop,stretch,3,Designs acquisition that doesn't cost per head.,Q2
12,Market Validation,market-sizing-tam-sam-som,Market Sizing (TAM/SAM/SOM),core,1,"Q5 asks for estimated market size — bottom-up, with your math shown.",Q5 What is your estimated market size?
12,Market Validation,demand-smoke-test,Demand / Smoke Test,core,2,"Q1/Q2 want real demand indicators: traffic, sign-ups, conversion — behaviour, not opinion.",Q1 How did you validate? · Q2 Indicators of demand
12,Market Validation,willingness-to-pay-test,Willingness-to-Pay Test,core,3,Van Westendorp gives Q4 an evidence-based answer instead of an anecdote.,Q4 How did the market respond to your pricing?
12,Market Validation,competitor-feature-coverage,Competitor Feature Coverage,core,4,Q3 asks what you learned about competitors — the feature-gap matrix is the artefact.,Q3 What did you learn about competitors?
12,Market Validation,waitlist-pre-order-tracker,Waitlist / Pre-order Tracker,core,5,Converts interest into a committed number you can quote to investors.,Q2
12,Market Validation,validation-scorecard,Validation Scorecard,core,6,One evidence-based score across everything you ran in this mission.,Q1
12,Market Validation,porter-s-five-forces,Porter's Five Forces,supporting,1,Deepens Q3 from 'who else exists' to 'is this industry structurally winnable'.,Q3
12,Market Validation,survey-sample-size,Survey Sample Size,supporting,2,Makes the demand numbers defensible.,Q1 / Q2
12,Market Validation,pestel-analysis,PESTEL Analysis,supporting,3,Regulatory and economic conditions that decide whether the market is ready now.,Q1
12,Market Validation,market-research-brief,Market Research Brief,supporting,4,Sources and trend data behind the market size number.,Q5
12,Market Validation,cac-calculator,CAC Calculator,supporting,5,Cost per acquired customer from the smoke test — the first real CAC you'll have.,Q2
12,Market Validation,paid-ads-performance,Paid Ads Performance,supporting,6,"If you drove test traffic with paid ads, this reads CTR/CPC/CPA.",Q1 / Q2
12,Market Validation,market-expansion-priority,Market Expansion Priority,stretch,1,Ranks which sub-market to attack first.,Q5
12,Market Validation,new-market-entry-scorecard,New Market Entry Scorecard,stretch,2,For cross-border MENA expansion decisions.,Q5
12,Market Validation,landing-page-brief,Landing Page Brief,stretch,3,"If the smoke test needs a second, sharper page.",Q1
13,Build MVP,mvp-scope-moscow,MVP Scope (MoSCoW),core,1,Q1 asks what features you included. Must/Should/Could is the discipline that keeps 20-40 hours from becoming 200.,Q1 What features did you include in your MVP?
13,Build MVP,product-roadmap,Product Roadmap,core,2,Now/Next/Later — what ships in the MVP and what is explicitly deferred.,Q1 / Q6
13,Build MVP,tech-stack-selector,Tech Stack Selector,core,3,Q2 asks for your stack. A weighted matrix beats defaulting to what you know.,Q2 What technology stack did you use?
13,Build MVP,sprint-velocity-eta,Sprint Velocity / ETA,core,4,"Q3 asks how long development took — plan it, then compare to actual.",Q3 How long did development take?
13,Build MVP,feature-prioritisation-rice,Feature Prioritisation — RICE,core,5,Ranks inside the must-have set when the build is still too big.,Q1
13,Build MVP,burn-rate-and-runway,Burn Rate & Runway,core,6,A 20-40 hour build has a cash cost. This says whether you can afford to finish.,Q4 What challenges did you face?
13,Build MVP,build-vs-buy,Build vs Buy,supporting,1,"Auth, payments, notifications — buy them. TCO comparison in one place.",Q2
13,Build MVP,risk-register,Risk Register,supporting,2,Q4 asks about challenges. Ranked risks turn surprises into managed items.,Q4
13,Build MVP,north-star-metric,North Star Metric,supporting,3,Instrument the MVP for this metric before launch or Mission 14 has no data.,Q6 Is your MVP ready for launch?
13,Build MVP,aarrr-funnel,AARRR Funnel,supporting,4,Defines the events to log at build time — acquisition through revenue.,Q6
13,Build MVP,cost-structure-and-budget,Cost Structure & Budget,supporting,5,The real cost of building and running the MVP.,Q4
13,Build MVP,team-roles-and-hiring-plan,Team Roles & Hiring Plan,supporting,6,"If you can't build it alone, this is who you need and when.",Q4
13,Build MVP,legal-checklist,Legal Checklist,supporting,7,"Terms, privacy policy and data handling must exist before real users touch the MVP.",Q6
13,Build MVP,hiring-cost-model,Hiring Cost Model,stretch,1,Fully-loaded cost of the first engineer or contractor.,Q4
13,Build MVP,rolling-cash-forecast,Rolling Cash Forecast,stretch,2,13-week cash view across the build period.,Q4
13,Build MVP,ip-strategy,IP Strategy,stretch,3,Assign IP to the company before contractors touch the codebase.,Q6
13,Build MVP,team-structure-and-equity,Team Structure & Equity,stretch,4,"If a co-founder or early employee joins for the build, agree equity before, not after.",Q4
14,Product-Market Fit Test,cohort-retention,Cohort Retention,core,1,The single most honest PMF signal: do cohorts stay? Feeds Q4 directly.,Q4 What is your user retention rate?
14,Product-Market Fit Test,retention-curve,Retention Curve,core,2,A curve that flattens is product-market fit. A curve that hits zero is not.,Q4 / Q5
14,Product-Market Fit Test,nps,NPS,core,3,"Structured user sentiment for Q3, comparable month to month.",Q3 What feedback did users provide?
14,Product-Market Fit Test,north-star-metric,North Star Metric,core,4,Q2 asks what metrics you achieved — the North Star is the headline one.,Q2 What user metrics did you achieve?
14,Product-Market Fit Test,aarrr-funnel,AARRR Funnel,core,5,"Q1/Q2 need the whole funnel: acquisition, activation, retention, referral, revenue.",Q1 How did your MVP launch go? · Q2
14,Product-Market Fit Test,engagement-score,Engagement Score,core,6,Distinguishes sign-ups from actual usage — the difference PMF lives in.,Q2
14,Product-Market Fit Test,validation-scorecard,Validation Scorecard,core,7,Q5 asks you to rate PMF 1-10. This makes that rating evidence-based rather than a mood.,Q5 Rate your product-market fit (1-10)
14,Product-Market Fit Test,churn-and-retention,Churn & Retention,supporting,1,"The inverse view, and the one investors will ask about.",Q4
14,Product-Market Fit Test,churn-by-segment,Churn by Segment,supporting,2,Shows PMF is often real for one segment and absent for another — the Superhuman insight.,Q4 / Q6
14,Product-Market Fit Test,dau-mau-stickiness,DAU/MAU Stickiness,supporting,3,"Frequency of use, for products that should be habitual.",Q2
14,Product-Market Fit Test,growth-accounting,Growth Accounting,supporting,4,Splits net growth into new / resurrected / churned so a flat number stops hiding trouble.,Q2
14,Product-Market Fit Test,feature-adoption,Feature Adoption,supporting,5,Which features the retained users actually use — the roadmap input for Q6.,Q6
14,Product-Market Fit Test,customer-health-score,Customer Health Score,supporting,6,Predicts who is about to churn while you can still act.,Q4
14,Product-Market Fit Test,ltv-calculator,LTV Calculator,supporting,7,Retention has now made LTV computable rather than theoretical.,Q2
14,Product-Market Fit Test,cac-calculator,CAC Calculator,supporting,8,Real acquisition cost from the launch.,Q2
14,Product-Market Fit Test,ltv-cac-and-payback,LTV:CAC & Payback,supporting,9,The ratio that says whether growth is worth funding.,Q2
14,Product-Market Fit Test,user-testing-synthesis,User Testing Synthesis,supporting,10,Qualitative depth behind the numbers.,Q3
14,Product-Market Fit Test,survey-sample-size,Survey Sample Size,stretch,1,The Sean Ellis 40% survey needs a defensible n.,Q5
14,Product-Market Fit Test,interview-synthesis,Interview Synthesis,stretch,2,Interview the users who would be 'very disappointed' — they define your ICP.,Q3 / Q6
14,Product-Market Fit Test,feature-prioritisation-rice,Feature Prioritisation — RICE,stretch,3,Ranks the Q6 improvement list.,Q6 What improvements will you make?
14,Product-Market Fit Test,expansion-and-nrr,Expansion & NRR,stretch,4,"If you have paying accounts, expansion revenue is the strongest PMF proof there is.",Q2
15,Go to Market,launch-checklist,Launch Checklist,core,1,Q1 asks you to describe the launch strategy — this is the executable version.,Q1 Describe your launch strategy
15,Go to Market,launch-budget,Launch Budget,core,2,What the launch costs and what CPA it implies.,Q2 What campaigns did you run?
15,Go to Market,marketing-sales-funnel,Marketing / Sales Funnel,core,3,Models and then measures the funnel the campaigns feed.,Q3 Launch results · Q4 Users acquired
15,Go to Market,channel-roi-roas,Channel ROI / ROAS,core,4,Q3 asks for results. ROAS per channel is the answer that tells you what to do next.,Q3 / Q6
15,Go to Market,experiment-tracker,Experiment Tracker,core,5,Launch is a sequence of experiments; this logs each one and what it taught.,Q2 / Q3
15,Go to Market,mrr-arr-tracker,MRR / ARR Tracker,core,6,"Q5 asks what revenue you generated — the recurring view, not just cash in.",Q5 What revenue did you generate?
15,Go to Market,marketing-materials,Marketing Materials,core,7,"The asset set the launch needs, planned rather than improvised.",Q2
15,Go to Market,pr-plan,PR Plan,supporting,1,"Story angle, target media, timeline — the earned-media half of the launch.",Q2
15,Go to Market,launch-event,Launch Event,supporting,2,"For MENA ecosystems, a launch moment with partners often outperforms paid.",Q2
15,Go to Market,paid-ads-performance,Paid Ads Performance,supporting,3,CTR / CPC / CPA per campaign.,Q2 / Q3
15,Go to Market,conversion-rate-optimisation,Conversion Rate Optimisation,supporting,4,Turns the same traffic into more users — the cheapest growth in the first month.,Q4 How many users did you acquire?
15,Go to Market,a-b-test,A/B Test,supporting,5,Tests the launch messaging with real traffic.,Q2
15,Go to Market,referral-viral-loop,Referral / Viral Loop,supporting,6,Q6 asks about growth next steps; K-factor is the compounding one.,Q6 Next steps for growth
15,Go to Market,experiment-backlog-ice,Experiment Backlog — ICE,supporting,7,Prioritises what to try in the weeks after launch day.,Q6
15,Go to Market,saas-metrics-dashboard,SaaS Metrics Dashboard,supporting,8,One board with the numbers an investor or mentor will ask for.,Q3 / Q5
15,Go to Market,kpi-tracker-actual-vs-projected,KPI Tracker — Actual vs Projected,supporting,9,Launch is the first month where actuals exist to compare against the plan.,Q3
15,Go to Market,content-cadence,Content Cadence,supporting,10,Sustains attention past launch week.,Q6
15,Go to Market,brand-identity,Brand Identity,supporting,11,Keeps every launch asset consistent.,Q2
15,Go to Market,growth-rate-and-cagr,Growth Rate & CAGR,stretch,1,Quantifies momentum for the first investor update.,Q6
15,Go to Market,kpi-scorecard,KPI Scorecard,stretch,2,Target vs actual across the launch KPIs.,Q3
15,Go to Market,rule-of-40,Rule of 40,stretch,3,"Once revenue exists, the growth-vs-burn balance check.",Q6
15,Go to Market,magic-number,Magic Number,stretch,4,"Sales efficiency, if you have a sales motion.",Q6
15,Go to Market,scaling-readiness-scorecard,Scaling Readiness Scorecard,stretch,5,Decides whether to scale or keep iterating.,Q6
15,Go to Market,revenue-per-employee,Revenue per Employee,stretch,6,Productivity check before you hire on launch optimism.,Q6
